行政區,路名,段、號及其他註明,經度,緯度,備註
士林區,文林路,235號對面,121.5228158,25.0944049,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,基河路劍潭捷運站,1號十字路口,121.5250016,25.0857988,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,408號前,121.5203623,25.0935002,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段685號,121.5274,25.097095,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段647號,121.52743,25.096973,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段607號前,121.527723,25.095945,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,188號前,121.52716,25.095717,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,237號前,121.525851,25.095253,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段575號,121.527929,25.093858,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段505巷口,121.527846,25.093506,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,捷運士林站(中山)公車站左側,121.527708,25.092779,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段437號,121.527393,25.09109,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段380號對面,121.527314,25.090537,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號銘傳大學公車站北側,121.527032,25.088027,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號銘傳大學公車站南側,121.526968,25.087944,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號文林路口,121.525597,25.086123,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號文林路口捷運橋下,121.525492,25.085882,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號劍潭捷運站南側,121.525078,25.084598,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段6號圓山保齡球館對面1,121.525285,25.082868,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段6號圓山保齡球館對面2,121.524974,25.082122,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段單號劍潭站公車站2,121.524678,25.081714,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段250號銘傳大學中側,121.52674,25.087151,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段250號銘傳大學北側,121.526824,25.087265,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段380號北側,121.527629,25.090682,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段455號對面,121.527804,25.091622,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段與福林路交叉口,121.52822,25.093772,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段雙號士林官邸(中山)公車站旁,121.528314,25.094508,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,115號燦坤旁,121.529045,25.095916,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,104巷對面左側,121.530052,25.096106,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,單號士林官邸(中正)公車站旁,121.531302,25.096281,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,雙號士林官邸(中正)公車站旁,121.531385,25.096514,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中正路,104巷福林國小公車站旁,121.529599,25.096193,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段626號福林橋站牌南側,121.527732,25.096924,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段773臨之2號,121.526819,25.099581,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福林路,240號泰北中學公車站(右側),121.533216,25.0971,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福林路,240號泰北中學公車站(左側),121.533477,25.09726,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,一段東吳大學(錢穆故居)公車站旁,121.542121,25.097097,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,故宮路,外雙溪(故宮)公車站旁,121.546724,25.097417,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段322巷口衛理女中(原住民文化主題公園)公車站旁,121.552664,25.10177,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段360號至善國中公車站旁,121.555748,25.103824,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段雙號雙溪別墅公車站旁,121.557314,25.105305,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中社路,二段185巷口旁,121.571194,25.107801,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中社路,二段185巷口旁1,121.571327,25.107892,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段754號前,121.527024,25.099554,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段274號對面,121.551098,25.100787,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段250號對面,121.550355,25.100302,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段321號故宮2,121.549797,25.100279,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段321號故宮3,121.549599,25.10024,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段143巷口外雙溪公車站牌旁,121.547662,25.098839,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,福林路,單號泰北中學公車站旁,121.534054,25.097738,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段6號圓山北齡球館停車場入口南側,121.525274,25.082025,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段6號圓山北齡球館停車場入口北側,121.525379,25.082195,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,中山北路,五段6號圓山北齡球館停車場出口南側,121.525591,25.082657,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段321號故宮1,121.550027,25.100123,嚴禁投入家用垃圾，違者重罰新台幣6000元
士林區,至善路,二段321號故宮4,121.549311,25.099844,嚴禁投入家用垃圾，違者重罰新台幣6000元
